case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3072695,,,5143,52161,CA,Kern County,06029,251 Wind,1987,194,18.43,Vestas,,95,,,,,0,,2,3,5/8/2018,Digital Globe,-118.364410,35.077435
3072661,,,5149,52161,CA,Kern County,06029,251 Wind,1987,194,18.43,Vestas,,95,,,,,0,,2,3,5/8/2018,Digital Globe,-118.363762,35.077908
3072704,,,5146,52161,CA,Kern County,06029,251 Wind,1987,194,18.43,Vestas,,95,,,,,0,,2,3,5/8/2018,Digital Globe,-118.364197,35.077644
3063269,19-028130,2016-WTE-5934-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,7/23/2017,Digital Globe,-93.632835,41.882477
3057059,19-027954,2016-WTE-9485-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,5/13/2017,Digital Globe,-93.623009,41.881470
3049500,19-028030,2014-WTE-4080-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,5/13/2017,Digital Globe,-93.515892,42.016373
3049502,19-027953,2014-WTE-4082-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,5/13/2017,Digital Globe,-93.518082,42.013630
3060912,19-028065,2014-WTE-4081-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,5/13/2017,Digital Globe,-93.513710,42.019119
3049504,19-028019,2014-WTE-4171-OE,,,IA,Poweshiek County,19157,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/28/2017,Digital Globe,-92.672089,41.742046
3063321,19-028135,2014-WTE-4087-OE,,,IA,Hardin County,19083,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,6/20/2017,Digital Globe,-93.367798,42.497940
3053390,19-028015,2015-WTE-6386-OE,,,IA,Boone County,19015,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,6/1/2017,Digital Globe,-93.700424,41.977608
3063272,19-028134,2014-WTE-4084-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,4/24/2017,Digital Globe,-93.430367,42.028233
3049503,19-028064,2014-WTE-4083-OE,,,IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30,Nordex,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,5/13/2017,Digital Globe,-93.523651,42.006813
3046262,25-025115,2013-WTE-5497-OE,26723,58661,MA,Barnstable County,25001,6th Space Warning Squadron,2013,2,3.36,GE Wind,GE1.68-82.5,1680,80,82.5,5345.62,121.3,0,,3,3,9/1/2019,Digital Globe,-70.541801,41.752491
